month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q12,Off-Peak,7531.2227,771,9.763649
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q12,Peak,2805.677,297,9.429482
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q13,Off-Peak,15832.731,1776,8.91339
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q13,Peak,7056.83,872,8.088513
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q13,Off-Peak,5760.83,607,9.4869995
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q13,Peak,2056.406,224,9.155282
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q15,Off-Peak,4964.398,483,10.274799
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q15,Peak,2842.824,313,9.075731
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q15,Off-Peak,1584.269,152,10.364352
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q15,Peak,635.057,64,9.850809
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q15A,Off-Peak,5316.755,518,10.258934
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q15A,Peak,2856.8381,308,9.262884
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q15A,Off-Peak,1642.146,159,10.324464
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q15A,Peak,736.664,76,9.691035
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q16,Off-Peak,9139.0625,877,10.410233
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q16,Peak,5394.626,570,9.461642
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q16,Off-Peak,3554.956,320,11.108052
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q16,Peak,1360.089,128,10.554417
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q17,Off-Peak,31824.85,3699,8.60198
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q17,Peak,15616.6455,1989,7.8511844
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q17,Off-Peak,12896.645,1396,9.232845
